batch,case,check,kind,child,node,question,receiver_truth,donor_truth,prediction,baseline_answer,actual_answer,prediction_match,receiver_correct,stop_reason,baseline_fact,actual_fact,effect,additive_prediction,joint_residual,total_state_count,added_state_count,source,condition_key,baseline_key
2,editclevr-335200,r335-parent21,refine,91,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,,blue,blue,,True,eos,0.2467201824173727,0.24572531603327863,-0.000994866384094073,,,148,4,batch-2/report.json,2090976038b8a492f314265d2d52628dc80933fcd0dfc2187ef8456d7e5ab8f0,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
2,editclevr-335200,r335-parent21,refine,78,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,,1,1,,True,eos,3.2499991602644345,3.249999179340117,1.9075682367031277e-08,,,148,4,batch-2/report.json,cdc7250d32a036766bf253c482ea6d426501436dd4732f2aaa71048057f53b3f,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
2,editclevr-335200,r335-parent21,refine,79,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,,1,1,,True,eos,3.2499991602644345,3.1249991544877234,-0.1250000057767111,,,148,4,batch-2/report.json,a805244d26b74c3468dd80d5a2dbc5978c1e513e8d935ed71e1ac63e4fedb39f,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
2,editclevr-335200,r335-parent21,refine,90,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,,1,1,,True,eos,3.2499991602644345,3.3749992096607264,0.12500004939629195,,,148,4,batch-2/report.json,2ac24960ea16245e82c53a896fd14bc561a1b2bd2521e11382e6735a6d0cd191,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
2,editclevr-335200,r335-parent21,refine,91,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,,1,1,,True,eos,3.2499991602644345,3.374999093715212,0.12499993345077742,,,148,4,batch-2/report.json,625a9587e31dfbf1ba605fd6984a949ab1d7545b95a55e8433273700b1790abb,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
3,editclevr-335200,l335-upper,local_joint,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,purple,blue,purple,True,False,eos,0.2467201824173727,-0.007369649524351818,-0.2540898319417245,-0.37793750217309174,0.12384767023136722,152,8,batch-3/report.json,ecb7f8bedb34d1152b09bb0dc985dee5203fee41e996098c0332fe248e070287,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
3,editclevr-335200,l335-upper,local_joint,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.1249991359111173,-0.12500002435331714,-0.12499998670102874,-3.7652288398248857e-08,152,8,batch-3/report.json,4b68ce3f0fe748b2d57ca5a256f8f22d420c2ee356dd6957eed56457e297c80b,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
3,editclevr-335200,l335-lower,area_control,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,blue,blue,blue,True,True,eos,0.2467201824173727,0.24574225631579472,-0.000977926101577986,-0.0030637990036243012,0.002085872902046315,152,8,batch-3/report.json,abc1cb2b96d0d4fecbe04781122dd8e31f8f5a79aab6aab1c4a3b1ce491a8fcf,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
3,editclevr-335200,l335-lower,area_control,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.374999132516146,0.12499997225171144,0.24999998284706937,-0.12500001059535792,152,8,batch-3/report.json,21127fde9b88b6bbc37af3cad42bc60ca2a7f37a4607b5ff8ea0a8fa14f47a0e,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
3,editclevr-335200,l335-left,local_joint,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,blue,blue,blue,True,True,eos,0.2467201824173727,0.24632010437302632,-0.00040007804434638583,-0.004348850801876192,0.003948772757529806,152,8,batch-3/report.json,dd6b5897429a172a7652afd6fe81201b5469b9c7e5a19d281abc679f22dcfed2,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
3,editclevr-335200,l335-left,local_joint,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.3749992651690204,0.1250001049045859,0.1250000684719743,3.6432611594250375e-08,152,8,batch-3/report.json,0715e5016a0ad971caab65ea15313da5fc88cbaccdeb33f8af1dfadd88e6fcae,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
3,editclevr-335200,l335-right,area_control,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,blue,blue,purple,False,False,eos,0.2467201824173727,-0.005031422339491609,-0.2517516047568643,-0.37665245037483985,0.12490084561797554,152,8,batch-3/report.json,da024fe54041eaaed0ae6a6be9c322daed6b207f3c6a2b34627379f1c096315f,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
3,editclevr-335200,l335-right,area_control,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.1249990472193354,-0.12500011304509906,-7.232593368655671e-08,-0.12500004071916537,152,8,batch-3/report.json,bb26548018403a7e4e0e4830ef69c984598b4649c3fe5206369d4639cefa1a27,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
4,editclevr-100669,D100669-far11-1,donor,,CLEVR_editclevr_atomic_a_000669_color_3-changed_color:1,What color is the large metal cylinder?,purple,green,green,red,red,False,False,eos,-5.312258230563181,-5.312243031928903,1.519863427823509e-05,,,160,16,batch-4/report.json,83aca85c56f811e17ab5e7b4ebb19038531ba5268087f6684c3294f66608835e,ed83f41d53e98aac954cdd19449896b6e8576618e21e567557f4e56fe88b0280
4,editclevr-100669,D100669-far11-0,donor,,CLEVR_editclevr_atomic_a_000669_color_3-changed_color:0,What color is the large metal cylinder?,green,purple,purple,purple,purple,True,False,eos,-4.7458791596716425,-4.4330466717494055,0.31283248792223706,,,160,16,batch-4/report.json,266af643cb89b888946295acdc46002e00e248367aae949f4051f169824739bc,9a4c2163648d9d1b6df3fcf15281738343d57440f78582e3aff351390eebc9da
4,editclevr-100669,D100669-far15-1,donor,,CLEVR_editclevr_atomic_a_000669_color_3-changed_color:1,What color is the large metal cylinder?,purple,green,green,red,red,False,False,eos,-5.312258230563181,-4.624486159232929,0.6877720713302518,,,160,16,batch-4/report.json,92dcc49e20fa10c2b7d7e30419d0799040615197bed07104b2c755fb09f7fd75,ed83f41d53e98aac954cdd19449896b6e8576618e21e567557f4e56fe88b0280
4,editclevr-100669,D100669-far15-0,donor,,CLEVR_editclevr_atomic_a_000669_color_3-changed_color:0,What color is the large metal cylinder?,green,purple,purple,purple,purple,True,False,eos,-4.7458791596716425,-4.809990918335993,-0.06411175866435048,,,160,16,batch-4/report.json,8d1645526742b6bf58634c4dcbe6bf55491f81460bce990570bd37b2906420d1,9a4c2163648d9d1b6df3fcf15281738343d57440f78582e3aff351390eebc9da
4,editclevr-335200,D335200-harm21-1,donor,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,yellow,yellow,blue,yellow,True,False,eos,0.4962951230191117,-2.26325689645622,-2.759552019475332,,,160,16,batch-4/report.json,69ed4576d33c5cf8f98458b4145f31671417ca9e7e3f1b476bd858ddd98667f6,79d0179cf8a8cee27ac980078d7b792eb7dc01746816130a7f9fb9bd0df4fb46
4,editclevr-335200,D335200-harm21-0,donor,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:0,What color is the small metal cube?,yellow,blue,blue,yellow,blue,True,False,eos,2.6218050741021672,0.35671677567861204,-2.265088298423555,,,160,16,batch-4/report.json,6f4f757488ec55fb633e5b10671767de19587a8a0345412d214256cbc9cda8ca,41c8e1379b577650a1983e519f37fab736cccc885c50013dc8dc3ac7c56b7313
4,editclevr-335200,D335200-drop21-1,donor,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,yellow,blue,blue,blue,True,True,eos,0.4962951230191117,0.491935778956367,-0.004359344062744741,,,272,128,batch-4/report.json,521150e2a5b48fbebc39ddc7535ebb610eee56ee260acba804d4df48b978d20f,79d0179cf8a8cee27ac980078d7b792eb7dc01746816130a7f9fb9bd0df4fb46
4,editclevr-335200,D335200-drop21-0,donor,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:0,What color is the small metal cube?,yellow,blue,yellow,yellow,yellow,True,True,eos,2.6218050741021672,2.497827060906984,-0.12397801319518331,,,272,128,batch-4/report.json,8753c3fcb1a794ef97bb074237480ea202e653292b6d212a28d7d0b6504022a7,41c8e1379b577650a1983e519f37fab736cccc885c50013dc8dc3ac7c56b7313
